timestamp,value
2021-01-01 00:00:00,0
2021-01-01 00:00:01,76
2021-01-01 00:00:02,59
2021-01-01 00:00:03,54
2021-01-01 00:00:04,57
2021-01-01 00:00:05,67
2021-01-01 00:00:06,67
2021-01-01 00:00:07,74
2021-01-01 00:00:08,57
2021-01-01 00:00:09,89
2021-01-01 00:00:10,129
2021-01-01 00:00:11,114
2021-01-01 00:00:12,48
2021-01-01 00:00:13,34
2021-01-01 00:00:14,35
2021-01-01 00:00:15,28
2021-01-01 00:00:16,42
2021-01-01 00:00:17,56
2021-01-01 00:00:18,150
2021-01-01 00:00:19,113
2021-01-01 00:00:20,73
2021-01-01 00:00:21,81
2021-01-01 00:00:22,229
2021-01-01 00:00:23,73
2021-01-01 00:00:24,146
2021-01-01 00:00:25,130
2021-01-01 00:00:26,148
2021-01-01 00:00:27,85
2021-01-01 00:00:28,70
2021-01-01 00:00:29,63
2021-01-01 00:00:30,112
2021-01-01 00:00:31,62
2021-01-01 00:00:32,121
2021-01-01 00:00:33,96
2021-01-01 00:00:34,126
2021-01-01 00:00:35,111
2021-01-01 00:00:36,46
2021-01-01 00:00:37,84
2021-01-01 00:00:38,31
2021-01-01 00:00:39,36
2021-01-01 00:00:40,38
2021-01-01 00:00:41,93
2021-01-01 00:00:42,63
2021-01-01 00:00:43,70
2021-01-01 00:00:44,174
2021-01-01 00:00:45,225
2021-01-01 00:00:46,184
2021-01-01 00:00:47,121
2021-01-01 00:00:48,79
2021-01-01 00:00:49,62
2021-01-01 00:00:50,158
2021-01-01 00:00:51,79
2021-01-01 00:00:52,60
2021-01-01 00:00:53,50
2021-01-01 00:00:54,47
2021-01-01 00:00:55,104
2021-01-01 00:00:56,163
2021-01-01 00:00:57,59
2021-01-01 00:00:58,57
2021-01-01 00:00:59,59
2021-01-01 00:01:00,47
2021-01-01 00:01:01,40
2021-01-01 00:01:02,33
2021-01-01 00:01:03,20
2021-01-01 00:01:04,22
2021-01-01 00:01:05,27
2021-01-01 00:01:06,125
2021-01-01 00:01:07,42
2021-01-01 00:01:08,66
2021-01-01 00:01:09,141
2021-01-01 00:01:10,148
2021-01-01 00:01:11,59
2021-01-01 00:01:12,113
2021-01-01 00:01:13,121
2021-01-01 00:01:14,123
2021-01-01 00:01:15,50
2021-01-01 00:01:16,38
2021-01-01 00:01:17,93
2021-01-01 00:01:18,43
2021-01-01 00:01:19,53
2021-01-01 00:01:20,152
2021-01-01 00:01:21,55
2021-01-01 00:01:22,48
2021-01-01 00:01:23,52
2021-01-01 00:01:24,47
2021-01-01 00:01:25,36
2021-01-01 00:01:26,76
2021-01-01 00:01:27,21
2021-01-01 00:01:28,23
2021-01-01 00:01:29,33
2021-01-01 00:01:30,94
2021-01-01 00:01:31,50
2021-01-01 00:01:32,162
2021-01-01 00:01:33,95
2021-01-01 00:01:34,131
2021-01-01 00:01:35,178
2021-01-01 00:01:36,134
2021-01-01 00:01:37,87
2021-01-01 00:01:38,64
2021-01-01 00:01:39,60
2021-01-01 00:01:40,67
2021-01-01 00:01:41,67
2021-01-01 00:01:42,52
2021-01-01 00:01:43,166
2021-01-01 00:01:44,157
2021-01-01 00:01:45,122
2021-01-01 00:01:46,81
2021-01-01 00:01:47,62
2021-01-01 00:01:48,50
2021-01-01 00:01:49,32
2021-01-01 00:01:50,34
2021-01-01 00:01:51,32
2021-01-01 00:01:52,28
